created_at;tweet;label
03/03/2021 05:10;b'@Nats28mj @tanyainrl psbb';netral
03/03/2021 05:08;b'@azzlrzky @Ridwanadityaaa Opo? PSBB?';netral
03/03/2021 05:04;b'org2 bosen psbb ktnya.yg dr jkt ke lampung yg dr lampung ke jkt,kn pdhl sm aja.kek mana si.tau ah pusing dh lah gatau.';negatif
03/03/2021 05:02;b'teruntuk kerupuk nasi bungkus di bawah meja sehari sebelum psbb, apa kabar ?';netral
03/03/2021 05:02;b'kalian pernah kefikiran gak jika psbb lagi, kasian anak broken home \nkata polisi, ini ngapain keluar \nbapak coba aja kerumah aku \neh ternyata di rmh sama di luar sama sama hancur hahahaaaa';negatif
03/03/2021 05:00;b'Baiknya semua divaksin.\n\nTapi saat PMK ga sesuai esensial saat PSBB, lalu urutan pelaksanaan tidak sesuai PMK dan yang tidak tercantum di tiga2nya masih divaksin duluan, itu namanya ngawur.\n\nNgawurnya pun ngga adil. Masa keluarga dewan dapet tapi keluarga koruptor ngga? https://t.co/hdRUHo5Ng7';negatif
03/03/2021 04:58;b'Selama masa pandemi dan berlakunya PSBB, kualitas udara di Jabodetabek terpantau mengalami peningkatan ke arah yang lebih baik, lho. \n\nAda yang sering cek kualitas udara di lokasi masing-masing dengan aplikasi nafas?';positif
03/03/2021 04:56;b'@yourbuIIshit Thank you, kirain masih psbb';negatif
03/03/2021 04:50;b'Suratnya dia yg waktu langgar psbb aja di apus di IG nya tapi kita gak bakal ngomongin itu kan';negatif
03/03/2021 04:48;b'@kanslay007 @SetyoTuhu101 @mohmahfudmd Ini kl PSBB lanjut sampai 6 bulan ke depan ya nggak tahu lah nasib rakyat Indonesia.';netral
03/03/2021 04:47;b'@soria_lam @HaryantoMarijan @anovaway @susetyopr @YouTube Ini kalo lu malas nyari\nMending lu komplen ke pusat\nGubernur udah bagus2 bikin peraturan, direcokin mulu\nhttps://t.co/B7GTDRYOGa';positif
03/03/2021 04:30;b'Brigadir Hen Boy Barus melaksanakan giat himbauan terhadap kerumunan masyarakat, agar selalu mematuhi Prokes dan peraturan PSBB yang berlaku di Wilayah Kab. Lebak. dalam giat tsb juga diingatkan kpd masyarakat agar selalu menjaga jarak, memakai masker, mencuci tangan. https://t.co/d4yGQ4CHsv';positif
03/03/2021 04:29;b'@Joshimacastillo Kamu baca UU Kekarantinaan gak??\n\nSebelumnya, pandemi di Indonesia pakai UU kekarantinaan apa pakai PSBB??? \nPasal pidana pakai UU Kekarantinaan. \n\nSedangkan UU Kekarantinaan apa diterapkan saat pandemi? Nggak kan.\n\nPidana juga cuman 1 tahun atau denda.\n\nPaham nggak??';positif
03/03/2021 04:24;b'Melaksanakan kegiatan patroli Woro Woro  :\n1.agar selalu mematuhi 3M + 1 T menggunakan masker , mencuci tangan , menjaga jarak , dan tidak berkerumun\n\n2.himbauan kpd masy ttg INBUP Clp no.1 th 2021 ttg PSBB /PPKM \n\n3.agar  masy patuh peraturan krn covid 19 blm berakhir https://t.co/a75EIhHT77';positif
03/03/2021 04:23;b'Melaksanakan kegiatan patroli Woro Woro  :\n1.agar selalu mematuhi 3M + 1 T menggunakan masker , mencuci tangan , menjaga jarak , dan tidak berkerumun\n\n2.himbauan kpd masy ttg INBUP Clp no.1 th 2021 ttg PSBB /PPKM \n\n3.agar  masy patuh peraturan krn covid 19 blm berakhir https://t.co/mmoliocjZl';positif
03/03/2021 04:23;b'Melaksanakan kegiatan patroli Woro Woro  :\n1.agar selalu mematuhi 3M + 1 T menggunakan masker , mencuci tangan , menjaga jarak , dan tidak berkerumun\n\n2.himbauan kpd masy ttg INBUP Clp no.1 th 2021 ttg PSBB /PPKM \n\n3.agar  masy patuh peraturan krn covid 19 blm berakhir https://t.co/tt0zdzFuCr';positif
03/03/2021 04:23;b'Melaksanakan kegiatan patroli Woro Woro  :\n1.agar selalu mematuhi 3M + 1 T menggunakan masker , mencuci tangan , menjaga jarak , dan tidak berkerumun\n\n2.himbauan kpd masy ttg INBUP Clp no.1 th 2021 ttg PSBB /PPKM \n\n3.agar  masy patuh peraturan krn covid 19 blm berakhir https://t.co/BwMEBWXzAw';positif
03/03/2021 04:23;b'Melaksanakan kegiatan patroli Woro Woro  :\n1.agar selalu mematuhi 3M + 1 T menggunakan masker , mencuci tangan , menjaga jarak , dan tidak berkerumun\n\n2.himbauan kpd masy ttg INBUP Clp no.1 th 2021 ttg PSBB /PPKM \n\n3.agar  masy patuh peraturan krn covid 19 blm berakhir https://t.co/gGVhxj9n5Q';positif
03/03/2021 04:17;b'Review Bu @tedafaadhila yang habis  Nongkrong di One Eighty Coffee di masa PSBB ini\n https://t.co/yieCge6rT8';netral
03/03/2021 04:14;b'Lantaran ieu virus ges sataun icing di nagara urang\nSagala kabijakan geus dicobaan, ti ngarana lockdown, psbb, aturan undang pikeun ieu pandemi, jeung sajabana\nIeu makhluk angger icing teu daek mangkat\nAyeuna urang kudu kumaha, mun rek siga biasa, da eta makhluk angger nyerang';negatif
03/03/2021 04:09;b'Masa psbb sudah dilonggarkan lagi, yuk cari uang cepat pertengahan bulan ini dengaan cara bermain slot online. Cek disini cara mainnya https://t.co/6GEaSZkHxA\n\n#SAVEAKSARA\n#AlwaysherewithMew\n#SlotOnline\n#MainSlot\n#DaftarSlot\n#Indovegas\n#SlotPragmaticPlay\n#JackpotSlot https://t.co/pxBj8S8eaK';netral
03/03/2021 04:08;b'@SebastianEdo4 @AtengMuslihat @PDemokrat @BennyHarmanID Kalo KLB illegaL tsb tetap dilaksanakan di BALI, bisa dilaporkan ke Satgas Covid19 bahwa KLB tsb melanggar PSBB karena akan ada kerumunan massa dari seluruh peserta KLB tsb.';negatif
03/03/2021 04:03;b'@Martabak_teloor Taun lalu kan PSBB, mang sobri... Gak bisa mudik yak \xf0\x9f\x98\x85\xf0\x9f\x98\x85';negatif
03/03/2021 04:03;b'Jaya Mika ( PT. Jaya Alam Persada ) on Google: https://t.co/fdacTMeJSt\n\n#jualacrylic #teknologiacrylic #distributor #akrilik #teknologi #kualitas #terbaik #Indonesia #COVID19 #COVID #psbb #Jakarta #Adiwarna #Mika #acrylic #clear #bening #mm #nomor #meja #table #number #restoran https://t.co/5YsBJmbEoq';netral
